channel_id,channel_name,niche,country,subscriber_count,view_count,video_count,avg_views_per_video,engagement_rate,upload_frequency,channel_age_days,estimated_monthly_revenue
UC000000SEED,CapitalCorner0,finance,US,15395,197758,89,2222,0.0467,2.88,932,159.85
UC000001SEED,WealthWave1,finance,JP,21891,92220,60,1537,0.0341,1.28,1423,38.17
UC000002SEED,FinFluent2,finance,CA,212603,889380,61,14580,0.0228,1.88,984,728.68
UC000003SEED,SweatSmart3,fitness,JP,27225,520576,392,1328,0.0208,4.25,2773,62.59
UC000004SEED,CapitalCorner4,finance,IN,120756,424818,27,15734,0.0248,0.6,1351,85.97
UC000005SEED,LiftLab5,fitness,DE,213904,2227743,189,11787,0.0645,5.24,1087,403.87
UC000006SEED,SkitKit6,comedy,MX,60887,3901020,395,9876,0.0659,4.42,2682,25.59
UC000007SEED,GadgetGuru7,tech,UK,48354,261657,27,9691,0.0478,1.8,457,249.62
UC000008SEED,WitWave8,comedy,MX,18469,2358460,611,3860,0.0813,4.9,3744,52.2
UC000009SEED,MoneyMind9,finance,US,2864616,63046113,111,567983,0.0222,2.19,1520,28884.18
UC000010SEED,LiftLab10,fitness,UK,24424,94218,383,246,0.0568,3.04,3792,7.55
UC000011SEED,FlexFlow11,fitness,DE,28689,275712,192,1436,0.0458,4.12,1400,41.7
UC000012SEED,CloudCast12,tech,IN,354152,13885020,180,77139,0.0241,4.4,1228,1627.29
UC000013SEED,MindMap13,education,AU,111661,776494,86,9029,0.053,5.05,513,740.03
UC000014SEED,GainGuru14,fitness,DE,18750,809984,448,1808,0.0479,3.61,3726,43.93
UC000015SEED,TradeTalk15,finance,DE,4993550,134781459,93,1449263,0.0365,0.77,3638,3087.89
UC000016SEED,SkitKit16,comedy,CA,34362,206572,86,2402,0.0752,6.52,398,77.76
UC000017SEED,MuscleMap17,fitness,AU,108841,2082300,220,9465,0.0369,5.39,1227,460.65
UC000018SEED,ComedyCave18,comedy,MX,50825,4834830,462,10465,0.0682,5.21,2659,85.36
UC000019SEED,IronPulse19,fitness,IN,196576,2678375,125,21427,0.0611,3.73,1008,82.67
UC000020SEED,StockSage20,finance,IN,34112,1103256,126,8756,0.0367,1.01,3767,68.45
UC000021SEED,CloudCast21,tech,UK,112937,3288990,255,12898,0.0279,4.59,1671,1240.5
UC000022SEED,ByteBlast22,tech,AU,322246,6475086,513,12622,0.0203,4.28,3600,792.81
UC000023SEED,BullRunTV23,finance,JP,208357,517066,22,23503,0.0254,1.43,475,450.7
UC000024SEED,DollarDrift24,finance,AU,584226,17873602,326,54827,0.0276,3.26,3004,2640.22
UC000025SEED,PixelPulse25,tech,IN,3632243,123541431,291,424541,0.0492,2.57,3403,6581.69
UC000026SEED,TechTrace26,tech,MX,107178,616860,298,2070,0.0265,4.74,1890,60.67
UC000027SEED,CloudCast27,tech,JP,294604,1713240,36,47590,0.0187,1.11,994,799.66
UC000028SEED,DollarDrift28,finance,UK,1006109,7598367,63,120609,0.0249,3.05,621,7913.68
UC000029SEED,FlexFlow29,fitness,US,278490,5939542,571,10402,0.0469,4.53,3787,641.0
UC000030SEED,FinFluent30,finance,FR,37166,1285956,147,8748,0.034,1.67,2651,356.65
UC000031SEED,CoreCraft31,fitness,IN,21436,1199380,182,6590,0.0727,3.2,1717,66.61
UC000032SEED,WitWave32,comedy,JP,3223650,62912800,304,206950,0.0517,5.13,1779,5109.95
UC000033SEED,SiliconSage33,tech,CA,42875,1623708,414,3922,0.0437,4.42,2809,258.21
UC000034SEED,KnowNow34,education,JP,38434,1584084,202,7842,0.037,2.32,2612,213.12
UC000035SEED,WitWave35,comedy,US,34481,2128880,520,4094,0.0983,4.7,3319,102.84
UC000036SEED,MoneyMind36,finance,UK,29917,526663,283,1861,0.0455,3.12,2724,17.42
UC000037SEED,InvestIQ37,finance,DE,2339674,9442003,53,178151,0.0305,2.52,633,45283.35
UC000038SEED,RoastReel38,comedy,FR,53343,1618500,375,4316,0.0504,8.13,1386,135.36
UC000039SEED,DataDriven39,tech,FR,524270,35250225,435,81035,0.0225,3.93,3323,5782.61
UC000040SEED,PeakPhysique40,fitness,UK,72761,898226,83,10822,0.0435,5.42,460,417.98
UC000041SEED,KnowNow41,education,FR,4757006,441524941,533,828377,0.0396,4.82,3319,12103.35
UC000042SEED,MoneyMind42,finance,BR,132207,3842292,199,19308,0.044,2.14,2806,331.48
UC000043SEED,PeakPhysique43,fitness,CA,59928,151700,74,2050,0.0742,4.77,469,99.23
UC000044SEED,FlexFlow44,fitness,AU,51051,545376,208,2622,0.0767,3.84,1630,127.91
UC000045SEED,MindMap45,education,JP,235961,296250,150,1975,0.0396,3.46,1303,65.67
UC000046SEED,CapitalCorner46,finance,UK,15493,317558,166,1913,0.0309,3.09,1621,111.16
UC000047SEED,LearnLift47,education,FR,22551,92690,65,1426,0.0298,2.87,687,60.3
UC000048SEED,PeakPhysique48,fitness,BR,306125,3130248,334,9372,0.0397,3.26,3084,362.81
UC000049SEED,GiggleGang49,comedy,FR,24897,509030,545,934,0.0906,5.53,2958,23.49
UC000050SEED,LearnLift50,education,IN,20353,153135,45,3403,0.0468,1.7,800,28.08
UC000051SEED,SiliconSage51,tech,JP,419175,31055700,195,159260,0.0254,3.03,1934,24258.18
UC000052SEED,FinFluent52,finance,US,22790,49610,55,902,0.0254,1.75,949,50.85
UC000053SEED,CoreCraft53,fitness,US,1335635,29851332,161,185412,0.0544,4.91,986,2056.28
UC000054SEED,InvestIQ54,finance,MX,262433,7274708,116,62713,0.0197,2.81,1246,3245.91
UC000055SEED,SkillStack55,education,UK,54870,2243736,99,22664,0.0573,2.31,1290,940.27
UC000056SEED,AIAlerts56,tech,US,1144903,12425200,100,124252,0.0328,3.7,816,7165.2
UC000057SEED,SiliconSage57,tech,JP,38010,808009,277,2917,0.0111,2.99,2782,129.14
UC000058SEED,SweatSmart58,fitness,AU,23484,389664,216,1804,0.0536,2.1,3082,27.98
UC000059SEED,LearnLift59,education,DE,710445,12546072,126,99572,0.0452,4.37,871,4863.56
UC000060SEED,KnowNow60,education,MX,226428,1484021,77,19273,0.0455,4.81,486,365.09
UC000061SEED,SiliconSage61,tech,CA,22979,448549,157,2857,0.0479,3.95,1198,146.97
UC000062SEED,FinFluent62,finance,CA,7440248,61651106,118,522467,0.005,1.43,2485,20096.81
UC000063SEED,GiggleGang63,comedy,MX,254378,4986888,564,8842,0.0693,5.77,2935,113.05
UC000064SEED,CapitalCorner64,finance,JP,22075,610902,729,838,0.0361,5.55,3944,79.13
UC000065SEED,ChuckleChief65,comedy,UK,49160,663796,302,2198,0.0955,5.59,1623,79.07
UC000066SEED,WitWave66,comedy,AU,12174,379090,835,454,0.0317,6.8,3690,14.07
UC000067SEED,LaughLab67,comedy,JP,12115662,228401712,112,2039301,0.0373,5.57,608,66198.89
UC000068SEED,BullRunTV68,finance,BR,21608,163982,442,371,0.0056,4.17,3184,6.33
UC000069SEED,PeakPhysique69,fitness,AU,49458,824212,148,5569,0.0674,2.41,1850,97.75
UC000070SEED,TechTrace70,tech,US,138956,1309952,68,19264,0.0427,2.03,1014,709.18
UC000071SEED,TechTrace71,tech,US,143983,3113110,286,10885,0.0382,2.38,3623,424.8
UC000072SEED,WisdomWell72,education,IN,132975,665190,30,22173,0.0639,0.5,1853,239.43
UC000073SEED,MoneyMind73,finance,DE,166752,2571804,108,23813,0.0496,2.43,1341,910.58
UC000074SEED,RoastReel74,comedy,JP,26864,130900,50,2618,0.0814,3.54,431,39.28
UC000075SEED,CoreCraft75,fitness,CA,2392569,134477992,439,306328,0.028,5.18,2547,11798.75
UC000076SEED,ThinkTank76,education,US,105480,99540,28,3555,0.0492,1.28,665,77.7
UC000077SEED,PeakPhysique77,fitness,AU,255948,1586100,425,3732,0.0588,4.22,3027,115.1
UC000078SEED,CryptoClarity78,finance,FR,28319,558272,488,1144,0.0304,4.87,3011,87.0
UC000079SEED,WitWave79,comedy,AU,139038,8295181,641,12941,0.0369,5.2,3699,478.67
UC000080SEED,MoneyMind80,finance,CA,3066562,10237668,28,365631,0.0251,0.67,1272,6540.37
UC000081SEED,GiggleGang81,comedy,DE,1945382,137924192,736,187397,0.0488,6.32,3498,4991.21
UC000082SEED,ChuckleChief82,comedy,US,158726,11498988,276,41663,0.068,5.19,1600,1945.59
UC000083SEED,AIAlerts83,tech,AU,208400,5521988,601,9188,0.0479,4.78,3778,3137.75
UC000084SEED,SkillStack84,education,DE,24130,179630,253,710,0.0398,2.5,3046,16.14
UC000085SEED,PixelPulse85,tech,UK,516630,6404126,193,33182,0.044,2.05,2835,977.58
UC000086SEED,FinFluent86,finance,BR,1256612,35178816,258,136352,0.0502,2.85,2726,7940.21
UC000087SEED,LiftLab87,fitness,DE,5405949,143987030,319,451370,0.0486,3.32,2895,10046.7
UC000088SEED,PixelPulse88,tech,DE,692204,5389360,184,29290,0.0448,4.15,1330,2227.02
UC000089SEED,PixelPulse89,tech,AU,154394,4970168,434,11452,0.005,3.77,3459,623.51
UC000090SEED,DataDriven90,tech,IN,4153950,256161062,502,510281,0.0348,4.62,3263,13843.19
UC000091SEED,IronPulse91,fitness,MX,183967,4278340,220,19447,0.0381,4.18,1583,315.22
UC000092SEED,RoastReel92,comedy,AU,4894261,536295376,568,944182,0.0273,6.4,2661,49862.31
UC000093SEED,GiggleGang93,comedy,FR,43204,611240,140,4366,0.0721,5.72,737,120.42
UC000094SEED,SkillStack94,education,IN,119708,1357380,60,22623,0.034,3.44,531,302.87
UC000095SEED,HahaHub95,comedy,UK,725813,7909720,91,86920,0.0753,2.86,959,2084.68
UC000096SEED,FitForge96,fitness,CA,21386,105078,249,422,0.064,3.86,1936,3.33
UC000097SEED,AIAlerts97,tech,UK,31365,1176873,183,6431,0.0356,3.22,1704,446.15
UC000098SEED,IronPulse98,fitness,BR,178268,4849392,372,13036,0.0612,4.24,2641,207.37
UC000099SEED,FinFluent99,finance,BR,19234,266910,205,1302,0.0393,2.48,2480,27.41
UC000100SEED,KnowNow100,education,US,197477,1268234,187,6782,0.0461,3.94,1425,437.36
UC000101SEED,MindMap101,education,IN,260020,260780,68,3835,0.0427,5.14,400,68.19
UC000102SEED,AIAlerts102,tech,DE,191569,4283556,269,15924,0.0406,2.81,2871,733.99
UC000103SEED,TechTrace103,tech,BR,243459,7785159,471,16529,0.0458,4.32,3279,531.96
UC000104SEED,EduEdge104,education,FR,321626,3632001,223,16287,0.033,2.22,3024,529.16
UC000105SEED,CodeCraft105,tech,FR,880792,29839824,336,88809,0.0325,3.38,2979,4271.78
UC000106SEED,GiggleGang106,comedy,CA,2319295,40335781,493,81817,0.0924,4.92,3008,2428.42
UC000107SEED,CapitalCorner107,finance,IN,4162500,44866185,65,690249,0.0198,0.54,3639,2963.0
UC000108SEED,FitForge108,fitness,UK,40350,434058,146,2973,0.0577,4.31,1018,117.67
UC000109SEED,SkillStack109,education,US,166169,2511850,110,22835,0.0394,3.45,959,1692.88
UC000110SEED,BullRunTV110,finance,MX,207831,845600,50,16912,0.0261,0.96,1590,28.3
UC000111SEED,PunchlinePro111,comedy,BR,305952,15402725,415,37115,0.0727,5.96,2090,390.59
UC000112SEED,CloudCast112,tech,JP,187327,738558,282,2619,0.035,2.26,3759,90.59
UC000113SEED,LiftLab113,fitness,AU,250782,28285785,495,57143,0.0317,5.33,2789,1046.28
UC000114SEED,SkillStack114,education,IN,50563,7009275,455,15405,0.042,3.59,3798,285.86
UC000115SEED,ByteBlast115,tech,US,338202,850584,83,10248,0.0519,2.19,1148,575.63
UC000116SEED,WealthWave116,finance,BR,36379,977346,243,4022,0.036,3.01,2426,124.53
UC000117SEED,ComedyCave117,comedy,BR,14362,701613,627,1119,0.0489,5.64,3337,13.06
UC000118SEED,EduEdge118,education,AU,80351,4590069,367,12507,0.0114,4.21,2616,698.12
UC000119SEED,FinFluent119,finance,FR,118600,3324064,436,7624,0.0362,5.29,2473,1492.45
UC000120SEED,WealthWave120,finance,DE,176262,10346760,369,28040,0.0216,2.97,3734,332.76
UC000121SEED,CapitalCorner121,finance,CA,122263,2256100,175,12892,0.014,1.78,2968,71.9
UC000122SEED,GainGuru122,fitness,IN,402230,4717944,308,15318,0.05,3.91,2365,152.47
UC000123SEED,SkillStack123,education,AU,242330,1218393,93,13101,0.0307,1.51,1859,207.74
UC000124SEED,WealthWave124,finance,IN,607690,1273504,32,39797,0.0335,1.01,975,257.39
UC000125SEED,PunchlinePro125,comedy,MX,450345,21490888,328,65521,0.0979,4.54,2170,501.24
UC000126SEED,GainGuru126,fitness,UK,88836,326331,101,3231,0.0412,4.68,653,183.64
UC000127SEED,MoneyMind127,finance,AU,26646,118720,224,530,0.0389,2.9,2327,36.75
UC000128SEED,SiliconSage128,tech,US,175575,1736748,108,16081,0.0406,5.57,583,1684.0
UC000129SEED,StockSage129,finance,JP,273971,3597790,206,17465,0.0342,3.81,1628,302.13
UC000130SEED,ClassCraft130,education,UK,32662,1575936,432,3648,0.0561,3.85,3367,180.05
UC000131SEED,SweatSmart131,fitness,BR,109359,2314947,197,11751,0.0503,2.64,2239,148.16
UC000132SEED,AIAlerts132,tech,JP,39629,562288,452,1244,0.0398,3.82,3556,81.42
UC000133SEED,JokeJam133,comedy,DE,30923,3297112,637,5176,0.0686,5.7,3354,132.5
UC000134SEED,RoastReel134,comedy,FR,41223,374256,113,3312,0.0799,5.57,612,73.0
UC000135SEED,WisdomWell135,education,DE,262007,6165588,132,46709,0.037,1.46,2728,2844.07
UC000136SEED,LiftLab136,fitness,FR,23444,355047,159,2233,0.0684,2.16,2216,39.32
UC000137SEED,LaughLab137,comedy,MX,14866,757875,375,2021,0.09,3.34,3373,18.14
UC000138SEED,CloudCast138,tech,CA,10000,12744,177,72,0.0376,2.31,2310,2.1
UC000139SEED,CloudCast139,tech,CA,27043,299200,320,935,0.0267,5.55,1731,105.29
UC000140SEED,StudySync140,education,US,28451,1025898,366,2803,0.0534,4.11,2681,218.17
UC000141SEED,ComedyCave141,comedy,MX,217568,6709208,478,14036,0.0683,5.06,2837,128.63
UC000142SEED,EduEdge142,education,JP,35542,933075,225,4147,0.0565,2.15,3143,134.7
UC000143SEED,ComedyCave143,comedy,AU,155568,7317109,361,20269,0.0852,4.73,2292,666.84
UC000144SEED,InvestIQ144,finance,JP,41900,29216,88,332,0.0204,2.25,1181,11.41
UC000145SEED,MuscleMap145,fitness,FR,2217846,116670736,454,256984,0.0351,5.03,2712,12577.24
UC000146SEED,PixelPulse146,tech,AU,118975,3163840,320,9887,0.0393,4.1,2346,713.47
UC000147SEED,MuscleMap147,fitness,DE,94854,2920216,344,8489,0.0216,4.68,2212,36.71
UC000148SEED,IronPulse148,fitness,AU,26463,645775,325,1987,0.0574,2.98,3273,152.65
UC000149SEED,CloudCast149,tech,AU,249789,716646,42,17063,0.0411,2.56,493,934.04
UC000150SEED,CryptoClarity150,finance,US,1128757,6306055,49,128695,0.0289,0.5,2989,1427.61
UC000151SEED,SkitKit151,comedy,IN,137395,1119152,113,9904,0.1207,4.84,703,102.69
UC000152SEED,WealthWave152,finance,UK,146338,5341060,391,13660,0.0212,3.49,3364,247.51
UC000153SEED,FlexFlow153,fitness,IN,20320,454305,155,2931,0.0514,2.99,1557,32.85
UC000154SEED,ZenZeal154,fitness,UK,42404,1184133,219,5407,0.0702,3.55,1855,133.12
UC000155SEED,CloudCast155,tech,CA,21857,336296,331,1016,0.0407,4.43,2248,89.27
UC000156SEED,RoastReel156,comedy,MX,181425,17564544,386,45504,0.103,5.47,2120,431.46
UC000157SEED,InvestIQ157,finance,MX,238664,818154,54,15151,0.0275,2.65,615,86.78
UC000158SEED,CoreCraft158,fitness,AU,179067,2733868,67,40804,0.0493,3.37,602,927.23
UC000159SEED,AIAlerts159,tech,UK,206812,6004955,517,11615,0.0328,4.12,3770,816.79
UC000160SEED,EduEdge160,education,AU,831224,15127386,174,86939,0.0338,2.03,2576,7194.42
UC000161SEED,WitWave161,comedy,FR,1626236,206420560,556,371260,0.0414,5.68,2937,46089.71
UC000162SEED,PunchlinePro162,comedy,MX,28974,2945349,423,6963,0.0709,4.65,2731,59.38
UC000163SEED,DollarDrift163,finance,JP,22455,489440,140,3496,0.0172,1.36,3115,62.17
